name	len_te	len_match	N	missmatch_anno	match	match_anno	len_matchRM	match_RM
invader4	3105	1371	149	29	0.441545893719807	0.990660225442834	526	0.169404186795491
invader5	4038		37	1525	0	0.622337790985637		0
invader6	4885		120	26	0	0.99467758444217	3558	0.72835209825998
jockey	5020	4976	162	2	0.991235059760956	0.999601593625498	4997	0.995418326693227
jockey2	3428		145	2243	0	0.345682613768962	395	0.115227537922987
looper1	1881		23	816	0	0.566188197767145		0
mariner2	912		92	38	0	0.958333333333333	904	0.991228070175439
mdg1	7480	6863	295	22	0.917513368983957	0.997058823529412	6863	0.917513368983957
mdg3	5519	5517	97	0	0.999637615510056	1	3156	0.571842725131364
micropia	5461		251	17	0	0.996887017029848	2348	0.42995788317158
opus	7521	6191	276	0	0.823161813588619	1	4930	0.655497939103843
pogo	2121	2119	86	0	0.999057048561999	1	1942	0.915605846298916
roo	9092	9088	2376	15	0.999560052793665	0.998350197976243	8260	0.90849098108227
rooA	7621		160	3255	0	0.572890696758956	2113	0.277260202073219
rover	7318	6696	173	93	0.915004099480733	0.987291609729434	2485	0.339573654003826
springer	7546	7540	90	3	0.999204876755897	0.999602438377949	6727	0.891465677179963
transib1	2167		32	90	0	0.958467928011075		0
transib2	2844		158	762	0	0.732067510548523	1333	0.468706047819972
transib3	2883	882	85	1615	0.305931321540062	0.439819632327437	871	0.302115851543531
transib4	2656		49	1495	0	0.437123493975904		0
